Name,club,facebook,twitter,instagram,pinterest,logo,Photo,Street,City,State,Zip,Appointment_url,Phone,Food,Tour,Family,Pets,Picnic,Website,Email,Fee,Appointment,Open,Close,atmosphere_id,Bio
Anaba Wines,http://www.anabawines.com/joinclub.html,https://www.facebook.com/anabawines?ref=ts,https://twitter.com/AnabaWines,https://instagram.com/anaba_wines/,,http://www.anabawines.com/trade/photos_logos/2013-logo.jpg,http://www.anabawines.com/photo/taste-1_r2_c1.jpg,60 Bonneau Road,Sonoma,CA,95476,https://admin.vinovisit.com/widget/search?wineryID=32&affiliate=anabawines.com&styleName=custom,707-996-4188,,,Yes,Yes,Yes,http://www.anabawines.com,Alan@AnabaWines.com,10.00,No,10:30,17:30,,"Anaba’s name originates from cool, upward-flowing anabatic winds that soar and swirl through its sustainably-farmed Carneros Estate vineyards.  Gifts of Nature, these unique air currents make the vineyard more temperate, slow down the ripening process, and allow the grapes to develop more robust flavors and distinctive varietal characteristics.  Anaba became the first winery in Northern California to utilize wind power when it installed a 45-foot wind turbine to harness the anabatic winds.  This wind turbine generates electricity for Anaba’s tasting room, wine storage, office operations and irrigation pumps for the two estate vineyards.  Our exclusive Anaba wines are handcrafted from the best Rhône and Burgundian grape varieties grown at our Carneros Estate vinyards and in select vineyard properties throughout Sonoma County.  Open daily."
Ancient Oak Cellars,http://store.nexternal.com/ao47f/join-ancient-oak-cellars-wine-club-c11.aspx,https://www.facebook.com/pages/Ancient-Oak-Cellars/107599929264114,https://twitter.com/AncientOak,https://instagram.com/ancientoakcellars/,https://www.pinterest.com/AncientOakC/,https://pbs.twimg.com/profile_images/817798230/AO_CELLARS_LOGO_FACBEOOK_LG.jpg,http://ancientoakcellars.com/wp-content/uploads/2010/03/IMG_04571-225x300.jpg,621 Fourth Street,Santa Rosa,CA,95404,,707-536-1546,Yes,,,,,http://www.ancientoakcellars.com,jordan@ancientoakcellars.com,,No,12:00,17:00,,"Taste the wines from Ancient Oaks Cellars in downtown Santa Rosa, inside the landmark Corrick’s; just adjacent to their Artrails gallery focused on local artists.   Enjoy Pinot Noir, Chardonnay and Zinfandel from Russian River Valley, Cab and Merlot from Alexander Valley and Sonoma Mountain. WINE HAPPY HOUR,  FIRST Fridays 5-7pm:  Join us for Happy Hour on the first Friday of every month, in association with the ARTrails artist receptions.Note: While at the tasting room in downtown Santa Rosa, parking is validated if you use any of the five downtown parking garages.  Open daily; Tuesday thru Thursday is by appointment."
Annadel Estate Winery,http://www.annadelestatewinery.com/wineclub/,https://www.facebook.com/AnnadelEstateWinery,,,,http://www.hitchedmag.com/images/article/label_threshod_drink_annadelestate_091513.png,http://www.annadelestatewinery.com/images/homepage/homepage_img.jpg,6687 Sonoma Highway,Santa Rosa,CA,95409,,707-537-8007,,,Yes,,Yes,http://www.annadelestatewinery.com,dean@annadelestatewinery.com,25.00,Yes,,,,"Our mission here at the Annadel Estate Winery is to create the finest caliber of wine and express what I believe is the highest form of love in each bottle, in each glass.  From our hands in the soil, to the endless cuts and bruises from caring for our vines, the bittersweet joy of harvest and crush, the time worrying and caring for our efforts cool and quiet in the barrel, the violence of the bottling line, the much needed rest in the bottle and finally to your home and this glass in front of you. This is our expression of heritage, family, and love."
Annapolis Winery,,,,,,http://www.annapoliswinery.com/gifs/finallogo.gif,http://www.annapoliswinery.com/gifs/2.GIF,26055 Soda Springs Road,Annapolis,CA,95412,,707-886-5460,,,Yes,Yes,Yes,http://www.annapoliswinery.com,annapoliswinery@gmail.com,,No,12:00,17:00,,"After living in Marin County , The Scalabrini’s  moved to Annapolis in 1976.  The vineyards were planted in 1978, replacing an old apple orchard. After farming for several years, Basil Scalabrini began making wine commercially.  With no winery, the first wine was made in a redwood grove at the top of the hill, a 1986 Cabernet Sauvignon…   It was great!  We built the winery in 1987, and began making wine from each vintage thereafter.    We are family owned and operated, and are involved in every phase of the wine growing process.  From pruning to bottling, we take personal pride in producing the best wine we possibly can. Our focus is on quality, not quantity. We produce a very small amount of wine, taking personal care at each step of the process. The results are wines that are naturally lush and intense.  Open daily."
Annex Wine Bar,http://annexwinebar.com/wine-club/,https://www.facebook.com/AnnexSonoma?_rdr=p,https://twitter.com/annexsonoma,,,http://annexwinebar.com/wp-content/uploads/2015/05/logo.png,http://annexwinebar.com/wp-content/uploads/2015/06/annexsign-1024x683-1024x683.jpg,865 West Napa Street,Sonoma,CA,95476,,707-938-7779,Yes,,,Yes,,http://www.annexwinebar.com,info@annexwinebar.com,,No,17:00,21:00,,"Annex Tasting Room & Wine Bar is a part of, and next to, Community Cafe. Part tasting room..part wine bar…totally cool. We offer private wine tasting by appointment and open the wine bar in the evening with wines available by the glass or bottle. We have a large dog friendly patio with a cozy fire pit to relax by. We offer a $5 dinner option Wednesday thru Saturday and offer our Sunday Dinner Series on Sundays only. Please check our events calendar for details.  Open Wednesday thru Saturday.  Shorterly hours Wednesday from 6pm - 10pm. Appointments available daily at other times."
Arbios Cellars / Praxis - Locals Tasting Room,http://www.arbioscellars.com/shop/Wine-Club/Arbios-Praxis-Wine-Club,https://www.facebook.com/pages/ArbiosPraxis-Cellars/397883159438,,,,http://www.arbioscellars.com/assets/images/arbios-logo.png,http://www.arbioscellars.com/assets/upload/gallery/000017-large.jpg,21023 Geyserville Avenue,Geyserville,CA,95441,,707-857-4900,,,,Yes,,http://www.arbioscellars.com,info@arbioscellars.com,0.00,No,11:00,18:00,,"Arbios Cellars/Praxis Cellars is a small Sonoma County family wine business; Bill Arbios makes the wine.  Bill made wine for many prominent wineries (including Lyeth, Fieldstone and Jarvis) over the last 40 years.  He began Arbios Cellars in 1993 with 125 cases and Praxis in 2000.  Unlike the Meritage wines he made at Lyeth, all of the Arbios & Praxis wines are 100% of their varietal from a single, sustainably farmed vineyard.  Open daily."
Arista Winery,http://www.aristawinery.com/Join-The--A--List,https://www.facebook.com/AristaWinery,https://twitter.com/aristawinery,,,http://www.charlescomm.com/assets/Big%20News/AristaLogo.jpeg,http://www.aristawinery.com/assets/client/Image/welcome_sign.jpg,7015 Westside Road,Healdsburg,CA,95448,,707-473-0606,,Yes,,Yes,Yes,http://www.aristawinery.com,info@aristawinery.com,20.00,No,11:00,17:00,,"Arista Winery was founded by the McWilliams family in 2002 with a mission to create the most elegant expression of Russian River Valley Pinot Noir. We are committed to sustainable farming practices and sustainable business practices.  We work closely with local growers who share our dedication to sustainability in their vineyards. We do not attempt to manipulate our vineyard sites but instead strive to preserve each vineyard's natural qualities.We believe that wines made in the vineyard are well-behaved in the cellar. We coax them along with minimal intervention and gentle handling. Arista's wines have deep, rich flavors that reflect the unique sites from which they are sourced. Produced in small lots of several barrels, the wines are deliciously balanced with fruit, tannins, acidity and oak in harmonious proportion.In addition to our wines, we pride ourselves on having created a true destination experience for our visitors. A breathtaking setting of Japanese water gardens, mountain and vineyard vistas, combined with an inviting tasting room, offers guests a welcoming environment that encourages picnic lunches and leisurely days spent on the estate.  Open daily."
Armida Winery,http://www.armida.com/wineclub/,https://www.facebook.com/ArmidaWinery,https://twitter.com/ArmidaWinery,,,http://milestoneeventsgroup.com/wp-content/uploads/2014/08/armida_logo-284x300.jpg,http://milestoneeventsgroup.com/wp-content/uploads/2014/09/armida_col.png,2201 Westside Road,Healdsburg,CA,95448,,707-433-2222,,,,,Yes,http://www.armida.com,tastingroom@armida.com,10.00,No,11:00,5:00,,"For 20 years now, brothers Steve and Bruce Cousins have been producing some of the best wines in Sonoma County.   We hand-craft vineyard designated wines from many of the top vineyards including Maple Vineyards Zinfandel and Maple Vineyards Tina’s Block (perhaps Dry Creek’s most coveted Zin Block), Durell  Vineyard Chardonnay and Pinot Noir, Parmelee-Hill Pinot Noir and Zinfandel, Castelli Knight Ranch Pinot Noir, Gold Mine Ranch Zinfandel, and Bacigalupi Vineyard Pinot Noir. We also are very excited with our addition of Gap’s Crown Vineyard Chardonnay and Pinot Noir to our portfolio which will  be released next year. From our seven-acre estate vineyard we produce Il Campo (""Field Blend""), a delicious combination of Zinfandel and Petite Syrah. While we make seriously great wine , we are not afraid to have a good time. That’s why we produce PoiZin ""The Wine to Die for"" (Zinfandel) and the ANTIDOTE (Pinot Gris). Our Wine Club and Industry Wide Events are festive and like no others.  Please come and try our incomparable wines while enjoying the enormous view of the Dry Creek and Russian River Valleys.  If so inclined, bring a lunch  to enjoy on the large patio and  a game of bocce ball . Come experience a welcoming and informal atmosphere in a beautiful location, with friendly, down-to- earth people and excellent wines.  ""Come Taste our World”.  Located minutes from the Healdsburg plaza in the hills just west of Westside Road, our winery tasting room is a geodesic dome with a large viewing window to the south, encompassing a panoramic view of the Russian River appellation and the Mayacama mountain range beyond. The tasting room is open every day except for Holidays."
Arrowood Vineyards & Winery,http://www.arrowoodvineyards.com/arrowood-wine-club,https://www.facebook.com/ArrowoodWinery,https://twitter.com/arrowoodwinery,,,http://www.pbfw.com/webart/wineries/43_b.jpg,http://www.arrowoodvineyards.com/sites/default/files/styles/gallery_image/public/gallery/gallery-img4.jpg?itok=5O4LnKHF,14347 Sonoma Highway 12,Glen Ellen,CA,95442,https://admin.vinovisit.com/widget/search?wineryID=5,707-935-2600,,,,,,http://www.arrowoodwinery.com,hospitality@arrowoodvineyards.com,15.00,No,10:00,16:30,,"Arrowood Winery is a luxury Sonoma County winery dedicated to the highest standards in wine quality.Perched on an eastern hillside overlooking the Sonoma Valley – the birthplace of California’s wine industry – Arrowood Vineyards & Winery welcomes wine lovers. Since 1987, every bottle we produce reflects the vintage, the terroir and the best Sonoma County has to offer. Our bright and airy tasting room is styled after a New England farmhouse, it’s a cozy place to lounge, either around the fireplace or on the wraparound veranda which overlooks the vineyards and Sonoma Mountain. Join our gracious staff for a tasting, where you’ll experience many small-batch wines available only through the tasting room or wine club. Please call ahead for groups of 6 or more and for private tasting availability."
Ashton Vineyard,https://www.ashtonwines.com/?page_id=24,,,,,https://pbs.twimg.com/profile_images/378800000252249160/ff72e5ef97713695e7b54efee29137ae.jpeg,https://www.ashtonwines.com/test/wp-content/uploads/2013/06/IMG_4153-150x150.jpg,12000 Henno Road,Glen Ellen,CA,95442,,707-935-3456,,,,Yes,,http://www.ashtonwines.com,wines@ashtonwines.com,30.00,Yes,13:00,17:00,,"Established in 1970, Ashton Vineyard has been the source of fine wine grapes at the heart of some of California's most notable wines.We are proud to introduce our own label with wines made exclusively of grapes from our estate at the foot of Sonoma Mountain in Glen Ellen in the Valley of the Moon. We grow and make two varieties: Pinot Noir and Syrah.  Open Friday, Saturday, Sunday."
Azari Vineyard,,https://www.facebook.com/azarivineyards,https://twitter.com/AzariVineyards,https://instagram.com/azarivineyards/,,https://learningsofatravelingwinemaker.files.wordpress.com/2013/04/azari-logo.jpg,http://static1.squarespace.com/static/52f56257e4b086cbdc0b0912/52f5c4a7e4b0c80880ee2eb9/54418145e4b0ea3fd72718ae/1413579106753/Azari+Shiraz+2007.JPG?format=300w,1399 Springhill Road,Petaluma,CA,94952,,707-347-9846,Yes,Yes,Yes,Yes,,http://www.azarivineyards.com,info@azarivineyards.com,,Yes,,,,"Azari Vineyards is a boutique producer of Pinot Noir and Syrah.  The wines are exclusively from the 15-acre hillside estate vineyard which has thin soils that reduce water retention and yield small-berry, concentrated fruit.  The winery offers winemaker tours every Saturday and Sunday which include a vineyard tour, barrel tasting, wood-fired oven pizza made on property as well as a tasting of our best wines.  Tours are at 12, 2 and 4pm"
B Wise Vineyards,http://www.bwisevineyards.com/clubs/,,,,,http://www.beauwinetours.com/wp-content/uploads/2013/11/bwise.jpg,http://www.bwisevineyards.com/assets/brion-wine5.jpg,9077 Sonoma Highway,Kenwood,CA,95452,,707-282-9169 ,,,,Yes,,http://www.bwisevineyards.com,,,No,10:30,17:30,,Our tasting room offers you the unique opportunity to honor the passion of wine’s culture and aesthetic properties.  Join us to taste a selection of our fine Red wines.  Open daily.
B.R. Cohn Winery & Olive Oil Company,https://brcohn.com/wine-club/,https://www.facebook.com/brcohnwinery,https://twitter.com/brcohn,https://instagram.com/brcohn,https://www.pinterest.com/brcohnwinery/,http://www.vintagewineestates.com/static/images/content/wineries/vwe-wineries-br-cohn-logo.jpg,https://brcohn.com/wp-content/uploads/2014/03/br_cohn_tasting_room.jpg,15000 Sonoma Highway,Glen Ellen,CA,95442,https://admin.vinovisit.com/widget/search?wineryID=3546,800-330-4064,,Yes,Yes,,Yes,http://www.brcohn.com,info@brcohn.com,15.00,No,10:00,17:00,,"Founded by the Cohn Family in 1984, B.R. Cohn Winery is located in the heart of Sonoma Valley. We offer a full line of ultra-premium wines, extra virgin olive oils, handcrafted vinegars and gourmet food products.  Our patio area is available for your enjoyment to come and picnic and relish the beautiful views this estate has to offer.  Our tasting room is open daily and we offer tours by appointment."
Bacigalupi Vineyards,http://bacigalupivineyards.com/wine-membership/,https://www.facebook.com/BacigalupiVineyards?fref=ts,https://twitter.com/BacigalupiVnyds,,,https://img.evbuc.com/https%3A%2F%2Fimg.evbuc.com%2Fhttps%253A%252F%252Fcdn.evbuc.com%252Fimages%252F13287441%252F99563893537%252F1%252Foriginal.jpg%3Frect%3D0%252C0%252C416%252C208%26s%3D5a480d6d33a5b6427efd637864093e7a?h=150&w=300&s=6ee7b5383d4c7d2c6fe2bdf42ef8e9b5,http://bacigalupivineyards.com/wp-content/uploads/2015/07/Fall-party-pic1-thumbnail-675x220.jpg,4353 Westside Road,Healdsburg,CA,95448,,707-473-0115,,,Yes,Yes,Yes,http://bacigalupivineyards.com,,10.00,No,11:00,17:00,,"Come experience the legacy of our vineyards. Since 1956 the Bacigalupi Family has been growing grapes on Westside Road in the Russian River Valley. We produce estate Chardonnay, Pinot Noir, Zinfandel, Petite Sirah and a red blend called Fondare under our family label. Blanc de Noir Sparkling wine and Muscat dessert wine to be released in 2017.Our family is most noted to have contrubited grapes to the 1973 Chateau Montelena that would go on to win the coveted Paris Tasting and forever change the way the world viewed California wines. We continue to farm the 1964 planting of Chardonnay as well as 125 acres of estate grapes. We invite you to visit our tasting room located in the beautiful Russian River Valley on Westside Road. Members of the family are always on hand to share our history and farming techniques.  Open daily."
Baker Lane Vineyards,http://bakerlanevineyards.securecheckout.com/club.html,https://www.facebook.com/bakerlane?_rdr=p,https://twitter.com/bakerlanewine,https://instagram.com/bakerlanevineyards/,,http://www.springboardwine.com/wp-content/uploads/2013/06/baker-lane.jpg,http://s3.amazonaws.com/efcheckout/bakerlanevineyards/events/2-8845.jpg,7361 Baker Lane,Sebastopol,CA,95472,,707-823-2496,,,Yes,Yes,Yes,http://www.bakerlanevineyards.com,kari@bakerlanevineyards,15.00,Yes,,,,"Baker Lane Vineyards was inspired by great wines from around the world that express something distinctive and delicious about taste and site. As winegrowers working with the favorable soils and cool climate conditions availed in Sebastopol in west Sonoma County, we’re pursuing a flavor driven environmental partnership. Our goal is to be part of the enticing roster of wines that present impressive depth, balance, and varietal typicity, wines that are welcome additions to any table.  The dates for Summer 2015 are as follows: Sunday, June 14 Saturday, July 11 Saturday, August 22 Saturday, September 26 *Tastings are hosted by winemaker and owner, Stephen Singer and are scheduled by appointment."
Balletto Vineyards,http://www.ballettovineyards.com/wine-club,https://www.facebook.com/ballettovineyards,https://twitter.com/BallettoWine,https://instagram.com/ballettovineyards/,,http://ballettovineyards.com/balletto_logo_new.jpg,http://ballettovineyards.com/balletto_logo_new.jpg,5700 Occidental Road,Santa Rosa,CA,95401,,707-568-2455,,,Yes,Yes,Yes,http://www.ballettovineyards.com,tastingroom@ballettovineyards.com,10.00,No,10:00,17:00,,"Balletto Vineyards is committed to growing and producing distinct, high quality wine from our estate vineyards located throughout Sonoma County’s famed Russian River Valley. We specialize in cool-climate Pinot Noir, Pinot Gris, Chardonnay and others."
Banshee Wines,http://www.bansheewines.com/wineclub,https://www.facebook.com/bansheewines,https://twitter.com/bansheewines,https://instagram.com/bansheewines/,,http://www.teplinnuss.com/wp-content/uploads/2012/03/Banshee-Logo.png,http://www.bansheewines.com/assets/client/Image/Tasting%20Room%204.jpg,325 Center St,Healdsburg,CA,95448,https://www.seatme.yelp.com/r/banshee-wines/,707-395-0915,,,,Yes,,http://www.bansheewines.com,info@bansheewines.com,15.00,No,11:00,20:00,,"The Tasting Room offers wines by the glass or bottle at retail price. Tasting flights range from $15 - $30 and savory small bites from Healdsburg's Barndiva are available to compliment the wines.  Open daily, closes early at 7pmm Sunday thru Thursday."
Barbed Oak Vineyard,http://shop.barbedoakvineyard.com/clubs,https://www.facebook.com/barbedoakvineyard,,,,http://barbedoakvineyard.com/images/logo.png,http://barbedoakvineyard.com/images/dog.png,3763 Matanzas Creek Lane,Santa Rosa,CA,95404,,707-528-6997,,,,,,http://www.barbedoakvineyard.com,,,Yes,,,,"Barbed Oak Vineyard is perfectly situated on 18 acres in Sonoma County’s Bennett Valley appellation. Matanzas Creek runs right alongside our property, and we neighbor the Sonoma Coast, Russian River and Sonoma Valley growing regions. Our grapes benefit from the warm days and cool nights that produce remarkable Pinot Noir and Chardonnay.We passionately craft wines that please the palate on first sip. And the wines’ complexities provide lingering aftertastes that reward the most critical connoisseur. Full of fruit, each bottle of Barbed Oak reflects the best traits of wine from the appellation."
Bartholomew Park Winery,http://www.bartpark.com/club,https://www.facebook.com/bartpark,https://twitter.com/bartparkwine,,,http://jacklondonpark.com/media/photos/logo_bartholomew.jpg,http://www.bartpark.com/assets/client/Image/VisitUs_LR.jpg,1000 Vineyard Lane,Sonoma,CA,95476,,707-939-3026,,,Yes,Yes,Yes,http://www.bartpark.com,info@bartpark.com,10.00,No,11:00,16:30,,"Nestled on a historic, organically-farmed estate just a few blocks east of Sonoma's plaza is Bartholomew Park Winery.We hand-craft boutique quantities of single-vineyard wines offered exclusively in our tasting room and website.  Visit us daily.  Public tours are offered Fridays and Saturdays at 11:30 a.m. and 2 p.m. and Sundays at 2 p.m.Groups of 8 or more require advanced reservation."
